
########## Evaluation Against Random - Episode 0 ##########
Timestep: 79 Average reward against random is 1.813

########## Evaluation Against Random - Episode 100 ##########
Timestep: 8069 Average reward against random is 1.749

########## Evaluation Against Random - Episode 200 ##########
Timestep: 16050 Average reward against random is 1.485

########## Evaluation Against Random - Episode 300 ##########
Timestep: 24050 Average reward against random is 1.733

########## Evaluation Against Random - Episode 400 ##########
Timestep: 32057 Average reward against random is 1.2

########## Evaluation Against Random - Episode 500 ##########
Timestep: 40038 Average reward against random is 1.54

########## Evaluation Against Random - Episode 600 ##########
Timestep: 48007 Average reward against random is 1.799

########## Evaluation Against Random - Episode 700 ##########
Timestep: 55994 Average reward against random is 1.281

########## Evaluation Against Random - Episode 800 ##########
Timestep: 63976 Average reward against random is 1.646

########## Evaluation Against Random - Episode 900 ##########
Timestep: 71996 Average reward against random is 1.405

########## Evaluation Against Random - Episode 1000 ##########
Timestep: 80021 Average reward against random is 2.024

########## Changing model - Using Model 2 as opponent ##########

########## Evaluation Against Random - Episode 1100 ##########
Timestep: 88026 Average reward against random is 1.829

########## Evaluation Against Random - Episode 1200 ##########
Timestep: 96028 Average reward against random is 1.456

########## Evaluation Against Random - Episode 1300 ##########
Timestep: 104020 Average reward against random is 1.764

########## Evaluation Against Random - Episode 1400 ##########
Timestep: 111995 Average reward against random is 1.864

########## Evaluation Against Random - Episode 1500 ##########
Timestep: 119968 Average reward against random is 2.136

########## Evaluation Against Random - Episode 1600 ##########
Timestep: 127932 Average reward against random is 1.96

########## Evaluation Against Random - Episode 1700 ##########
Timestep: 135907 Average reward against random is 1.986

########## Evaluation Against Random - Episode 1800 ##########
Timestep: 143890 Average reward against random is 1.962

########## Evaluation Against Random - Episode 1900 ##########
Timestep: 151855 Average reward against random is 1.725

########## Evaluation Against Random - Episode 2000 ##########
Timestep: 159843 Average reward against random is 2.13

########## Changing model - Using Model 3 as opponent ##########

########## Evaluation Against Random - Episode 2100 ##########
Timestep: 167813 Average reward against random is 1.874

########## Evaluation Against Random - Episode 2200 ##########
Timestep: 175777 Average reward against random is 1.819

########## Evaluation Against Random - Episode 2300 ##########
Timestep: 183730 Average reward against random is 1.693

########## Evaluation Against Random - Episode 2400 ##########
Timestep: 191690 Average reward against random is 1.592

########## Evaluation Against Random - Episode 2500 ##########
Timestep: 199649 Average reward against random is 2.174

########## Evaluation Against Random - Episode 2600 ##########
Timestep: 207607 Average reward against random is 1.943

########## Evaluation Against Random - Episode 2700 ##########
Timestep: 215586 Average reward against random is 1.67

########## Evaluation Against Random - Episode 2800 ##########
Timestep: 223559 Average reward against random is 1.774

########## Evaluation Against Random - Episode 2900 ##########
Timestep: 231542 Average reward against random is 1.663

########## Evaluation Against Random - Episode 3000 ##########
Timestep: 239527 Average reward against random is 1.904

########## Changing model - Using Model 4 as opponent ##########

########## Evaluation Against Random - Episode 3100 ##########
Timestep: 247490 Average reward against random is 1.797

########## Evaluation Against Random - Episode 3200 ##########
Timestep: 255463 Average reward against random is 1.915

########## Evaluation Against Random - Episode 3300 ##########
Timestep: 263452 Average reward against random is 1.52

########## Evaluation Against Random - Episode 3400 ##########
Timestep: 271439 Average reward against random is 1.889

########## Evaluation Against Random - Episode 3500 ##########
Timestep: 279479 Average reward against random is 1.589

########## Evaluation Against Random - Episode 3600 ##########
Timestep: 287560 Average reward against random is 1.695

########## Evaluation Against Random - Episode 3700 ##########
Timestep: 295616 Average reward against random is 1.664

########## Evaluation Against Random - Episode 3800 ##########
Timestep: 303660 Average reward against random is 1.94

########## Evaluation Against Random - Episode 3900 ##########
Timestep: 311680 Average reward against random is 1.308

########## Evaluation Against Random - Episode 4000 ##########
Timestep: 319675 Average reward against random is 1.657

########## Changing model - Using Model 5 as opponent ##########

########## Evaluation Against Random - Episode 4100 ##########
Timestep: 327690 Average reward against random is 1.716

########## Evaluation Against Random - Episode 4200 ##########
Timestep: 335662 Average reward against random is 2.124

########## Evaluation Against Random - Episode 4300 ##########
Timestep: 343636 Average reward against random is 1.235

########## Evaluation Against Random - Episode 4400 ##########
Timestep: 351605 Average reward against random is 1.768

########## Evaluation Against Random - Episode 4500 ##########
Timestep: 359568 Average reward against random is 1.445

########## Evaluation Against Random - Episode 4600 ##########
Timestep: 367535 Average reward against random is 1.649

########## Evaluation Against Random - Episode 4700 ##########
Timestep: 375511 Average reward against random is 1.325

########## Evaluation Against Random - Episode 4800 ##########
Timestep: 383461 Average reward against random is 1.515

########## Evaluation Against Random - Episode 4900 ##########
Timestep: 391422 Average reward against random is 1.574

########## Evaluation Against Random - Episode 5000 ##########
Timestep: 399394 Average reward against random is 2.083

########## Changing model - Using Model 6 as opponent ##########

########## Evaluation Against Random - Episode 5100 ##########
Timestep: 407364 Average reward against random is 1.285

########## Evaluation Against Random - Episode 5200 ##########
Timestep: 415310 Average reward against random is 1.437

########## Evaluation Against Random - Episode 5300 ##########
Timestep: 423268 Average reward against random is 1.691

########## Evaluation Against Random - Episode 5400 ##########
Timestep: 431225 Average reward against random is 1.235

########## Evaluation Against Random - Episode 5500 ##########
Timestep: 439189 Average reward against random is 1.638

########## Evaluation Against Random - Episode 5600 ##########
Timestep: 447148 Average reward against random is 1.666

########## Evaluation Against Random - Episode 5700 ##########
Timestep: 455103 Average reward against random is 2.134

########## Evaluation Against Random - Episode 5800 ##########
Timestep: 463069 Average reward against random is 1.799

########## Evaluation Against Random - Episode 5900 ##########
Timestep: 471028 Average reward against random is 1.786

