
########## Evaluation Against Random - Episode 0 ##########
Timestep: 79 Average reward against random is 1.719

########## Evaluation Against Random - Episode 500 ##########
Timestep: 40107 Average reward against random is 1.186

########## Evaluation Against Random - Episode 1000 ##########
Timestep: 80109 Average reward against random is 1.428

########## Evaluation Against Random - Episode 1500 ##########
Timestep: 120140 Average reward against random is 1.61

########## Evaluation Against Random - Episode 2000 ##########
Timestep: 160172 Average reward against random is 1.259

########## Evaluation Against Random - Episode 2500 ##########
Timestep: 200186 Average reward against random is 1.454

########## Evaluation Against Random - Episode 3000 ##########
Timestep: 240143 Average reward against random is 1.31

########## Evaluation Against Random - Episode 3500 ##########
Timestep: 280113 Average reward against random is 1.318

########## Evaluation Against Random - Episode 4000 ##########
Timestep: 320118 Average reward against random is 1.188

########## Evaluation Against Random - Episode 4500 ##########
Timestep: 360103 Average reward against random is 1.189

########## Evaluation Against Random - Episode 5000 ##########
Timestep: 400119 Average reward against random is 1.25

########## Changing model - Using Model 2 as opponent ##########

########## Evaluation Against Random - Episode 5500 ##########
Timestep: 440131 Average reward against random is 1.332

########## Evaluation Against Random - Episode 6000 ##########
Timestep: 480194 Average reward against random is 1.36

########## Evaluation Against Random - Episode 6500 ##########
Timestep: 520183 Average reward against random is 1.074

########## Evaluation Against Random - Episode 7000 ##########
Timestep: 560173 Average reward against random is 2.455

########## Evaluation Against Random - Episode 7500 ##########
Timestep: 600151 Average reward against random is 2.465

########## Evaluation Against Random - Episode 8000 ##########
Timestep: 640122 Average reward against random is 2.616

########## Evaluation Against Random - Episode 8500 ##########
Timestep: 680146 Average reward against random is 2.597

########## Evaluation Against Random - Episode 9000 ##########
Timestep: 720152 Average reward against random is 1.37

########## Evaluation Against Random - Episode 9500 ##########
Timestep: 760135 Average reward against random is 1.219

########## Evaluation Against Random - Episode 10000 ##########
Timestep: 800126 Average reward against random is 1.568

########## Changing model - Using Model 3 as opponent ##########

########## Evaluation Against Random - Episode 10500 ##########
Timestep: 840170 Average reward against random is 1.223

########## Evaluation Against Random - Episode 11000 ##########
Timestep: 880139 Average reward against random is 1.296

########## Evaluation Against Random - Episode 11500 ##########
Timestep: 920194 Average reward against random is 1.224

########## Evaluation Against Random - Episode 12000 ##########
Timestep: 960201 Average reward against random is 1.542

########## Evaluation Against Random - Episode 12500 ##########
Timestep: 1000251 Average reward against random is 1.087

########## Evaluation Against Random - Episode 13000 ##########
Timestep: 1040249 Average reward against random is 1.363

########## Evaluation Against Random - Episode 13500 ##########
Timestep: 1080249 Average reward against random is 1.392

########## Evaluation Against Random - Episode 14000 ##########
Timestep: 1120249 Average reward against random is 1.092

########## Evaluation Against Random - Episode 14500 ##########
Timestep: 1160242 Average reward against random is 1.456

########## Evaluation Against Random - Episode 15000 ##########
Timestep: 1200271 Average reward against random is 2.453

########## Changing model - Using Model 4 as opponent ##########

########## Evaluation Against Random - Episode 15500 ##########
Timestep: 1240260 Average reward against random is 1.395

